category,title,director,image_director,cast1,image_cast1,cast2,image_cast2,cast3,image_cast3,image_title
Oscar,Scent of a Woman,Martin Brest,https://image.tmdb.org/t/p/w500/bqR72AZbmi0CnLarTpOv9YA9IzG.jpg,Al Pacino,https://image.tmdb.org/t/p/w500/fMDFeVf0pjopTJbyRSLFwNDm8Wr.jpg,Chris O'Donnell,https://image.tmdb.org/t/p/w500/KvWBFg1aMBdu4X2PihXYL8xcFD.jpg,James Rebhorn,https://image.tmdb.org/t/p/w500/jRdR3q28gTPQU6eWRgiIqzGuMKU.jpg,https://image.tmdb.org/t/p/w500/4adI7IaveWb7EidYXfLb3MK3CgO.jpg
Oscar,Howards End,James Ivory,https://image.tmdb.org/t/p/w500/k8rLCfPmRXT77nXQcYssrX5Dn0s.jpg,Emma Thompson,https://image.tmdb.org/t/p/w500/xr8Ki3CIqweWWqS5q0kUYdiK6oQ.jpg,Helena Bonham Carter,https://image.tmdb.org/t/p/w500/hJMbNSPJ2PCahsP3rNEU39C8GWU.jpg,Anthony Hopkins,https://image.tmdb.org/t/p/w500/9ukJS2QWTJ22HcwR1ktMmoJ6RSL.jpg,https://image.tmdb.org/t/p/w500/1009nhfj28VhhQnVadtjkOacduX.jpg
Oscar,Unforgiven,Clint Eastwood,https://image.tmdb.org/t/p/w500/8TwdCfeOZH7ucRlfLZ6wObxa7cO.jpg,Clint Eastwood,https://image.tmdb.org/t/p/w500/8TwdCfeOZH7ucRlfLZ6wObxa7cO.jpg,Gene Hackman,https://image.tmdb.org/t/p/w500/xPmETCv0APDoIK5CvIIJwbTcjPA.jpg,Morgan Freeman,https://image.tmdb.org/t/p/w500/jPsLqiYGSofU4s6BjrxnefMfabb.jpg,https://image.tmdb.org/t/p/w500/54roTwbX9fltg85zjsmrooXAs12.jpg
Oscar,The Piano,Jane Campion,https://image.tmdb.org/t/p/w500/zAkrfMl6m940Ja46ofWaM94gTNj.jpg,Holly Hunter,https://image.tmdb.org/t/p/w500/oNoFAi0AQXDP68tv7c7t5WjYioy.jpg,Harvey Keitel,https://image.tmdb.org/t/p/w500/7P30hza1neYWW3r7rSQOC736K2Z.jpg,Sam Neill,https://image.tmdb.org/t/p/w500/bNZ03phkLewj8eUR6mGbKZ7jtmv.jpg,https://image.tmdb.org/t/p/w500/rx8RKXn8OtuS6lqloYsjyrGOUp4.jpg
Oscar,Schindler's List,Steven Spielberg,https://image.tmdb.org/t/p/w500/tZxcg19YQ3e8fJ0pOs7hjlnmmr6.jpg,Liam Neeson,https://image.tmdb.org/t/p/w500/sRLev3wJioBgun3ZoeAUFpkLy0D.jpg,Ben Kingsley,https://image.tmdb.org/t/p/w500/vQtBqpF2HDdzbfXHDzR4u37i1Ac.jpg,Ralph Fiennes,https://image.tmdb.org/t/p/w500/tJr9GcmGNHhLVVEH3i7QYbj6hBi.jpg,https://image.tmdb.org/t/p/w500/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg
Oscar,As Good as It Gets,James L. Brooks,https://image.tmdb.org/t/p/w500/mZBy39mFACFHMCqfbsN4Kc2qb2k.jpg,Jack Nicholson,https://image.tmdb.org/t/p/w500/hBHcQIEa6P48HQAlLZkh0eKSSkG.jpg,Helen Hunt,https://image.tmdb.org/t/p/w500/aJVortGgkGkvK0DMiY0I7Fv77Qb.jpg,Greg Kinnear,https://image.tmdb.org/t/p/w500/z7AxO6ChRTs2C0e7T9KqYJDY3KA.jpg,https://image.tmdb.org/t/p/w500/xXxuJPNUDZ0vjsAXca0O5p3leVB.jpg
Oscar,As Good as It Gets,James L. Brooks,https://image.tmdb.org/t/p/w500/mZBy39mFACFHMCqfbsN4Kc2qb2k.jpg,Jack Nicholson,https://image.tmdb.org/t/p/w500/hBHcQIEa6P48HQAlLZkh0eKSSkG.jpg,Helen Hunt,https://image.tmdb.org/t/p/w500/aJVortGgkGkvK0DMiY0I7Fv77Qb.jpg,Greg Kinnear,https://image.tmdb.org/t/p/w500/z7AxO6ChRTs2C0e7T9KqYJDY3KA.jpg,https://image.tmdb.org/t/p/w500/xXxuJPNUDZ0vjsAXca0O5p3leVB.jpg
Oscar,Titanic,James Cameron,https://image.tmdb.org/t/p/w500/9NAZnTjBQ9WcXAQEzZpKy4vdQto.jpg,Leonardo DiCaprio,https://image.tmdb.org/t/p/w500/ts9l18VkDSooRGDWIeQegNVHciC.jpg,Kate Winslet,https://image.tmdb.org/t/p/w500/e3tdop3WhseRnn8KwMVLAV25Ybv.jpg,Billy Zane,https://image.tmdb.org/t/p/w500/wr4fuwLzQvW1G0MS7cmQ3ObFjvL.jpg,https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg
Oscar,Life Is Beautiful,Roberto Benigni,https://image.tmdb.org/t/p/w500/ba1Sg02XxCphu6E1dWDMAH1GzeE.jpg,Roberto Benigni,https://image.tmdb.org/t/p/w500/ba1Sg02XxCphu6E1dWDMAH1GzeE.jpg,Nicoletta Braschi,https://image.tmdb.org/t/p/w500/9IeE3Iz9HXZVTrvhjSCKlR4FLxB.jpg,Giorgio Cantarini,https://image.tmdb.org/t/p/w500/1tKZHpVTYcw8EP3naVTZFlrOkhQ.jpg,https://image.tmdb.org/t/p/w500/74hLDKjD5aGYOotO6esUVaeISa2.jpg
Oscar,Saving Private Ryan,Steven Spielberg,https://image.tmdb.org/t/p/w500/tZxcg19YQ3e8fJ0pOs7hjlnmmr6.jpg,Tom Hanks,https://image.tmdb.org/t/p/w500/eKF1sGJRrZJbfBG1KirPt1cfNd3.jpg,Tom Sizemore,https://image.tmdb.org/t/p/w500/soINOuacuiThRb2LyPD4tTWve7C.jpg,Edward Burns,https://image.tmdb.org/t/p/w500/pTLdPUSxDUcdmvy91LGCF3pk0AM.jpg,https://image.tmdb.org/t/p/w500/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg
