title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1106791,
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,349882,
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,394310,
"The Devil Wears Prada",movie,"Comedy, Drama",2006,tt0458352,6.9,493476,
"Batman Returns",movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,337816,
"Kill Bill: Vol. 2",movie,"Action, Crime, Thriller",2004,tt0378194,8,830768,
"La Strada",movie,Drama,1954,tt0047528,8,67947,
"Batman Forever",movie,"Action, Adventure",1995,tt0112462,5.4,272724,
"Batman & Robin",movie,"Action, Sci-Fi",1997,tt0118688,3.8,274166,
8½,movie,Drama,1963,tt0056801,8,128396,
"A Beautiful Mind",movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1014286,
"Romeo + Juliet",movie,"Drama, Romance",1996,tt0117509,6.7,250381,
"Bend It Like Beckham",movie,"Comedy, Drama, Romance",2002,tt0286499,6.7,118738,
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1122371,
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,205997,
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,112495,
Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,166601,
"There's Something About Mary",movie,"Comedy, Romance",1998,tt0129387,7.1,337194,
"Fight Club",movie,Drama,1999,tt0137523,8.8,2431452,
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,388160,
"Die Hard",movie,"Action, Thriller",1988,tt0095016,8.2,982714,
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,478008,
"2 Fast 2 Furious",movie,"Action, Crime, Thriller",2003,tt0322259,5.9,307375,
"The Terminal",movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,510042,
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1327132,
"E.T. the Extra-Terrestrial",movie,"Adventure, Family, Sci-Fi",1982,tt0083866,7.9,450663,
"Independence Day",movie,"Action, Adventure, Sci-Fi",1996,tt0116629,7,622810,
"The Matrix",movie,"Action, Sci-Fi",1999,tt0133093,8.7,2132586,
"The Matrix Reloaded",movie,"Action, Sci-Fi",2003,tt0234215,7.2,647573,
"The Matrix Revolutions",movie,"Action, Sci-Fi",2003,tt0242653,6.7,557626,
"Wild Strawberries",movie,"Drama, Romance",1957,tt0050986,8.1,119144,
"The Last Samurai",movie,"Action, Drama",2003,tt0325710,7.8,484998,
"The Bodyguard",movie,"Drama, Music, Romance",1992,tt0103855,6.4,152692,
Trainspotting,movie,Drama,1996,tt0117951,8.1,744368,
"The Usual Suspects",movie,"Crime, Drama, Mystery",1995,tt0114814,8.5,1179652,
"Life Is Beautiful",movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,769773,
"Catch Me If You Can",movie,"Biography, Crime, Drama",2002,tt0264464,8.1,1149157,
"A.I. Artificial Intelligence",movie,"Adventure, Drama, Sci-Fi",2001,tt0212720,7.2,329499,
"Paris, Texas",movie,Drama,1984,tt0087884,8.1,129308,
"La Jetée",movie,"Drama, Romance, Sci-Fi",1962,tt0056119,8.2,38245,
"Saw IV",movie,"Horror, Mystery, Thriller",2007,tt0890870,5.9,170107,
