title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Haywire,movie,"Action, Drama, Thriller",2011,tt1506999,5.8,91068,
"Bleed for This",movie,"Biography, Drama, Sport",2016,tt1620935,6.8,31959,
"Crazy, Stupid, Love.",movie,"Comedy, Drama, Romance",2011,tt1570728,7.4,586272,
"お終活 再春!人生ラプソディ",movie,,2024,,,,
Divergent,movie,"Action, Adventure, Drama",2014,tt1840309,6.6,501765,
"The Divergent Series: Insurgent",movie,"Action, Adventure, Sci-Fi",2015,tt2908446,6.2,262214,
Allegiant,movie,"Action, Adventure, Fantasy",2016,tt3410834,5.7,139489,
"The Farewell",movie,"Comedy, Drama",2019,tt8637428,7.5,73403,
"Boy Kills World",movie,"Action, Crime, Thriller",2023,tt13923084,6.4,33785,
"Blood for Dust",movie,"Action, Crime, Thriller",2023,tt10669888,5.2,2013,
"The Hovering Blade",movie,"Drama, Thriller",2009,tt1415224,5.9,191,
"Flavor of Happiness",movie,Drama,2008,tt1305755,6.8,185,
Single8,movie,"Adventure, Comedy, Drama",2023,tt30633111,6.9,209,
"Man of Steel",movie,"Action, Adventure, Sci-Fi",2013,tt0770828,7.1,829499,
"In Time",movie,"Action, Sci-Fi, Thriller",2011,tt1637688,6.7,462631,
"The Last Movie",movie,Drama,1971,tt0067327,6.1,2816,
"Man on Fire",movie,"Action, Drama, Thriller",1987,tt0093489,5.8,3258,
"The Reef",movie,"Adventure, Horror, Thriller",2010,tt1320291,5.8,21681,
M/Other,movie,Drama,1999,tt0201743,7.1,429,
"Where Is the Friend's House?",movie,"Drama, Family",1987,tt0093342,8.1,20390,
"One-Armed Boxer",movie,"Action, Drama, Fantasy",1972,tt0067009,6.8,1561,
"Love in the Time of Hysteria",movie,"Comedy, Romance",1991,tt0102958,6.8,4227,
"The Help",movie,Drama,2011,tt1454029,8.1,508279,
"Pokémon: Zoroark: Master of Illusions",movie,"Action, Adventure, Animation",2010,tt1690470,6.1,2503,
"Secret Reunion",movie,"Action, Drama, Thriller",2010,tt1535491,6.9,4471,
"Saint Seiya: Heaven Chapter - Overture",movie,"Animation, Fantasy",2004,tt0805605,7,1570,
"The Lincoln Lawyer",movie,"Crime, Drama, Mystery",2011,tt1189340,7.3,260689,
"Countdown to Zero",movie,Documentary,2010,tt1572769,6.9,2330,
"Under the Hawthorn Tree",movie,"Drama, Romance",2010,tt1554523,7.1,3924,
"Disciples of the 36th Chamber",movie,"Action, Comedy",1985,tt0089029,6.4,2240,
"Fortress of War",movie,"Action, Drama, War",2010,tt1343703,7.4,10762,
"Sister Street Fighter: Hanging by a Thread",movie,"Action, Crime",1974,tt0183704,6.6,590,
"Silent Night, Deadly Night Part 2",movie,"Horror, Thriller",1987,tt0093974,3.9,9652,
"Higanjima: Escape from Vampire Island",movie,"Action, Adventure, Fantasy",2009,tt1270767,5.3,828,
"Margin Call",movie,"Drama, Thriller",2011,tt1615147,7.1,151099,
"The Geisha",movie,Drama,1983,tt0203224,6.9,371,
Henshin,movie,Romance,2005,tt0490970,4.7,59,
"Mutant Girls Squad",movie,"Action, Comedy, Fantasy",2010,tt1590796,5.7,2086,
"Death Note Relight - Visions of a God",movie,"Animation, Crime, Drama",2007,tt3355694,7.4,1710,
"Fast Five",movie,"Action, Crime, Thriller",2011,tt1596343,7.3,417619,
"Sumo Do, Sumo Don't",movie,"Comedy, Drama, Sport",1992,tt0105388,7.1,1034,
"The Man from Nowhere",movie,"Action, Drama, Thriller",2010,tt1527788,7.7,77093,
"About Her Brother",movie,Drama,2010,tt1345834,7,865,
"Trigun: Badlands Rumble",movie,"Action, Animation, Drama",2010,tt1703049,7.4,6051,
"Mega Monster Battle: Ultra Galaxy Legends - The Movie",movie,"Action, Adventure, Family",2009,tt1467280,7,421,
"Tomie: Another Face",movie,"Horror, Romance",1999,tt0284565,5.1,491,
"Tomie: Forbidden Fruit",movie,Horror,2002,tt0348226,5.7,603,
"Tomie: Re-birth",movie,Horror,2001,tt0348225,5.5,720,
"Tomie: Replay",movie,Horror,2000,tt0279474,5.4,795,
"The Three Musketeers",movie,"Action, Adventure, Fantasy",2011,tt1509767,5.7,113577,
"The Longest Night in Shanghai",movie,"Drama, Romance",2007,tt0798443,6.7,679,
"The Other Woman",movie,Drama,2009,tt1032825,6.3,20003,
"Café Lumière",movie,Drama,2003,tt0412596,6.8,3414,
"Virgin Snow",movie,Romance,2007,tt0997155,6.4,980,
"Gamera vs. Gyaos",movie,"Family, Fantasy, Sci-Fi",1967,tt0061695,5.1,2602,
Parade,movie,Drama,2009,tt1493070,7.1,680,
"Proxy War",movie,"Action, Drama",1973,tt0070244,7.3,1627,
"Wanda Sykes: Tongue Untied",movie,"Comedy, Documentary",2003,tt0391525,6.8,256,
"Death of a Ninja",movie,"Action, Adventure, Fantasy",1982,tt0089691,5.8,649,
"Hiroshima Death Match",movie,"Action, Crime, Drama",1973,tt0070245,7.5,2038,
"300: Rise of an Empire",movie,"Action, Drama",2014,tt1253863,6.2,322033,
"My Geeky Girlfriend",movie,"Comedy, Drama, Romance",2009,tt1424056,5.3,221,
"Jazz on a Summer's Day",movie,"Documentary, Music",1959,tt0052942,7.9,2059,
Angel,movie,"Fantasy, Romance",2005,tt0828120,6.3,158,
"Who's Camus Anyway",movie,Drama,2005,tt0456873,7,547,
"Tenjôjin to Akutojin: Saigo no tatakai",movie,"Action, Animation, Drama",2009,tt1411966,6.6,11,
"The Traveler",movie,Drama,1974,tt0071859,7.5,2286,
"Message from Space",movie,"Action, Adventure, Sci-Fi",1978,tt0078435,4.9,1764,
"One-Armed Swordsman",movie,"Action, Drama",1967,tt0061597,7.2,3799,
Confessions,movie,"Drama, Thriller",2010,tt1590089,7.7,43303,
"The Naked Kitchen",movie,"Drama, Romance",2009,tt1516552,5.7,475,
Love,movie,"Drama, Music, Sci-Fi",2011,tt1541874,5.4,9042,
"Ocean Heaven",movie,Drama,2010,tt1498858,7.5,2819,
"Border Line",movie,"Drama, Romance",2002,tt0337891,7.2,57,
"Gamera, the Guardian of the Universe",movie,"Action, Drama, Fantasy",1995,tt0113142,6.7,4296,
"For Those We Love",movie,"Drama, War",2007,tt0882797,5.8,419,
Hitch-Hike,movie,"Crime, Drama, Horror",1977,tt0077188,6.8,3323,
"Golgo 13",movie,"Action, Crime, Thriller",1973,tt0174699,6.1,406,
"Happily Ever After",movie,"Comedy, Drama, Romance",2007,tt0997159,6.6,355,
"Tuesday, After Christmas",movie,"Drama, Romance",2010,tt1470024,6.9,5070,
"Touch of Pink",movie,"Comedy, Drama, Romance",2004,tt0374277,6.4,4519,
"Jeepers Creepers III",movie,Horror,2017,tt1139592,3.9,25386,
"Female Prisoner Scorpion: #701's Grudge Song",movie,"Crime, Drama, Thriller",1973,tt0226873,6.3,1704,
"One Missed Call 3: Final",movie,"Horror, Mystery",2006,tt0978797,4.9,2330,
"The Blue Light",movie,"Crime, Drama, Romance",2003,tt0400174,7.2,1074,
"Win Win",movie,"Comedy, Drama, Sport",2011,tt1606392,7.1,55694,
"Mike Birbiglia: What I Should Have Said Was Nothing",movie,Comedy,2008,tt1188112,7.6,1968,
"Tomica Hero: Rescue Force Explosive Movie: Rescue the Mach Train!",movie,"Action, Adventure, Comedy",2008,tt1344164,7.3,14,
"Hitoya ni saku hana",movie,,2010,tt1606611,6.5,7,
"Battle League Horumo",movie,Comedy,2009,tt1381065,5.9,213,
"Conversation Piece",movie,"Drama, Romance",1974,tt0071585,7.4,5428,
"The Dark Harbour",movie,"Comedy, Drama",2009,tt1368460,7.2,76,
"Mission: Impossible - Ghost Protocol",movie,"Action, Adventure, Thriller",2011,tt1229238,7.4,539660,
"Nightmare Detective 2",movie,"Drama, Horror",2008,tt1056107,6.1,776,
Troubleshooter,movie,"Action, Crime, Drama",2010,tt1846803,6.2,446,
"Alien vs. Ninja",movie,"Action, Comedy, Fantasy",2010,tt1592503,4.4,2348,
"Whitney Cummings: Money Shot",movie,"Comedy, Documentary",2010,tt1659261,6.2,1033,
"The Galaxy Express 999: The Eternal Fantasy",movie,"Animation, Sci-Fi",1998,tt0169951,6.3,198,
"Wrath of the Titans",movie,"Action, Adventure, Fantasy",2012,tt1646987,5.7,198615,
"Spirit of Wonder: Chaina-san no yûutsu",movie,"Animation, Comedy, Romance",1992,tt0105456,6.4,160,
"The Black House",movie,"Comedy, Drama, Horror",1999,tt0257844,6.2,549,
"The Yellow Sea",movie,"Action, Crime, Drama",2010,tt1230385,7.3,23643,
"Moomins and the Comet Chase",movie,"Adventure, Animation, Family",2010,tt1606636,6,656,
"Love Fight",movie,"Drama, Romance, Sport",2008,tt1313144,6.1,71,
"Pretty Cure All Stars DX 2: Kibou no Hikari - Rainbow Jewel o Mamore!",movie,"Action, Adventure, Animation",2010,tt1630601,6.7,24,
"Dear Friends",movie,Drama,2007,tt1039780,6.5,459,
"Nick Kroll: Thank You Very Cool",movie,"Comedy, Documentary",2011,tt1809315,5.6,286,
"Cash Calls Hell",movie,"Action, Crime",1966,tt0165304,7.4,424,
"Death Shadow",movie,Action,1986,tt0165339,6,265,
"Don't Look Up",movie,"Fantasy, Horror",1996,tt0229499,6.2,685,
"Take Care of Your Scarf, Tatiana",movie,"Comedy, Romance",1994,tt0110832,7.1,3966,
"Alone on the Pacific",movie,"Adventure, Drama",1963,tt0057553,7,523,
"Tokyo Girl",movie,"Fantasy, Romance",2008,tt1139641,6.6,242,
"13 Assassins",movie,"Action, Adventure, Drama",2010,tt1436045,7.5,69915,
"Bandits vs. Samurai Squadron",movie,"Action, Adventure, Drama",1978,tt0164707,6.6,445,
"Three Outlaw Samurai",movie,"Action, Drama",1964,tt0058652,7.6,4161,
"Shogun's Shadow",movie,"Action, Adventure, Drama",1989,tt0098322,6.9,760,
"The Raffle",movie,"Comedy, Drama, Romance",1991,tt0134057,5.2,1435,
"The Perfect World of Kai",movie,"Animation, Drama, Family",2007,tt1119194,7.1,1817,
"HeartCatch PreCure the Movie: Fashion Show in the Flower Capital... Really?!",movie,"Action, Adventure, Animation",2010,tt1753757,7.6,44,
"Gamera 2: Attack of the Legion",movie,"Action, Drama, Fantasy",1996,tt0116390,7,3282,
"Adieu Galaxy Express 999",movie,"Action, Animation, Drama",1981,tt0184881,7,642,
"From Me to You",movie,"Drama, Romance",2010,tt1632544,6.9,3058,
"This Means War",movie,"Action, Comedy, Romance",2012,tt1596350,6.3,196824,
Hahaha,movie,"Comedy, Drama, Romance",2010,tt1452626,6.7,1565,
"Gamera 3: Revenge of Iris",movie,"Action, Drama, Fantasy",1999,tt0184503,7.1,3444,
"Gamera the Brave",movie,"Adventure, Family, Fantasy",2005,tt0467923,6.6,1546,
"To the Wonder",movie,"Drama, Romance",2012,tt1595656,5.8,30349,
"Diary of a Wimpy Kid: Rodrick Rules",movie,"Comedy, Family",2011,tt1650043,6.6,38735,
"Red Dawn",movie,"Action, War",2012,tt1234719,5.3,81990,
"Macross Frontier: The Wings of Farewell",movie,"Action, Animation, Music",2011,tt1566528,7.1,216,
"Sinbad: Where U Been?",movie,"Comedy, Documentary",2010,tt1591499,7.8,285,
"Point Blank",movie,"Action, Crime, Drama",2010,tt1545759,6.8,14829,
"Pale Flower",movie,"Crime, Drama, Romance",1964,tt0056327,7.7,4635,
"The Grand Duel",movie,"Action, Drama, Mystery",1972,tt0068657,6.4,3648,
"Another Heaven",movie,"Crime, Horror, Sci-Fi",2000,tt0244975,5.9,892,
"The Flying Guillotine",movie,"Action, Drama",1975,tt0071512,6.6,1691,
"Sound of the Sea",movie,"Drama, Romance",2001,tt0261311,5.9,2343,
"Dark Shadows",movie,"Comedy, Fantasy, Horror",2012,tt1077368,6.2,286791,
Melancholia,movie,"Drama, Sci-Fi",2011,tt1527186,7.1,201009,
"The Guys from Paradise",movie,"Crime, Drama",2000,tt0304809,6.5,400,
"Tales of Terror: Haunted Apartment",movie,Horror,2005,tt0808332,6.2,504,
"The Girl Who Leapt Through Time",movie,"Romance, Sci-Fi",1983,tt0086456,6.5,1036,
"Saru Lock the Movie",movie,Comedy,2010,tt1525886,5.5,45,
"Hello Ghost",movie,"Comedy, Drama, Family",2010,tt1848926,7.5,4913,
"Angel Heart",movie,Drama,1995,tt0112660,5,270,
"Midnight Sun",movie,"Drama, Music, Romance",2006,tt0844347,7.1,1987,
"Man Called Rocca",movie,"Crime, Drama",1961,tt0055569,6.4,604,
"Metal Skin Panic MADOX- 01",movie,"Animation, Comedy, Sci-Fi",1987,tt0093529,5.8,442,
"The Lost Bladesman",movie,"Action, Biography, Drama",2011,tt1648093,6,4619,
"Dear Prudence",movie,Drama,2010,tt1587119,5.9,1126,
"Mad Love",movie,"Drama, Romance",1969,tt0062663,7.3,913,
"Hunter in the Dark",movie,"Action, Adventure, Drama",1979,tt0079317,7,606,
"Mechanical Violator Hakaider",movie,"Action, Sci-Fi",1995,tt0161644,6.1,568,
"The Incite Mill",movie,"Horror, Mystery, Thriller",2010,tt1586753,5.6,1420,
"The Zodiac Killer",movie,"Horror, Mystery, Thriller",1971,tt0143016,4.4,1014,
"An Autumn's Tale",movie,"Drama, Romance",1987,tt0093426,7.5,2537,
"À l'aventure",movie,"Drama, Fantasy, Romance",2008,tt1235552,5.4,2396,
Laddaland,movie,"Drama, Horror, Mystery",2011,tt2063782,6.2,2690,
Colorful,movie,"Animation, Drama, Fantasy",2010,tt1677561,7.3,7387,
"Warriors Two",movie,"Action, Comedy, Drama",1978,tt0078517,7.2,1646,
"Perfect Love",movie,"Drama, Romance",1996,tt0117296,6.2,590,
"Total Recall",movie,"Action, Adventure, Sci-Fi",2012,tt1386703,6.2,270685,
"The Great Gatsby",movie,"Drama, Romance",2013,tt1343092,7.2,616089,
"Mai Mai Miracle",movie,"Adventure, Animation, Drama",2009,tt1517216,6.9,1242,
"Final Episode",movie,"Action, Crime, Drama",1974,tt0226018,7.3,1292,
"Detective K: Secret of Virtuous Widow",movie,"Action, Comedy, Crime",2011,tt1832381,6.2,1203,
Tomboy,movie,Drama,2011,tt1847731,7.4,22753,
"Happy Feet Two",movie,"Adventure, Animation, Comedy",2011,tt1402488,5.8,48954,
"Come Rain, Come Shine",movie,Drama,2011,tt1832453,6.2,701,
"Captive Files I",movie,"Drama, Horror, Thriller",2002,tt2848162,5.1,22,
"Captive Files II",movie,"Drama, Horror",2003,,,,
"Eyes of the Spider",movie,"Crime, Drama, Thriller",1998,tt0241644,6.6,714,
Muthu,movie,"Action, Comedy, Drama",1995,tt0140399,7.5,3794,
"Sailor Suit and Machine Gun",movie,"Action, Romance",1981,tt0083021,6.4,1019,
"Gonin 2",movie,"Action, Crime, Thriller",1996,tt0116436,6.2,482,
"Mr. Vampire II",movie,"Action, Comedy, Horror",1986,tt0091293,5.7,997,
"New Battles Without Honor and Humanity",movie,"Action, Comedy, Crime",1974,tt0072152,6.9,473,
"The Boss's Head",movie,"Action, Comedy, Crime",1975,tt0073702,7.2,370,
"Last Days of the Boss",movie,"Action, Comedy, Crime",1976,tt0075209,6.8,292,
"The Snowtown Murders",movie,"Biography, Crime, Drama",2011,tt1680114,6.6,21359,
"Bokura no nanoka-kan sensô",movie,"Action, Comedy, Drama",1988,tt0101494,6.3,158,
"To Love",movie,"Drama, Romance",1997,tt0118574,6.5,98,
"Cold Fish",movie,"Crime, Drama, Horror",2010,tt1632547,7.1,15127,
Ojuken,movie,"Comedy, Drama, Family",1999,tt0298100,6.2,101,
Inugami,movie,"Drama, Fantasy, Horror",2001,tt0277044,5.9,1006,
"Shrill Cries: Reshuffle",movie,"Action, Drama, Horror",2009,tt1346850,5.2,222,
"Lost Paradise",movie,"Drama, Romance",1997,tt0120120,6.6,804,
"The Iceman",movie,"Biography, Crime, Drama",2012,tt1491044,6.8,81523,
"Isola: Multiple Personality Girl",movie,"Drama, Horror, Mystery",2000,tt0233910,5.4,477,
"Railroad Man",movie,Drama,1999,tt0206216,7.1,1393,
Rouge,movie,"Drama, Fantasy, Music",1987,tt0093258,7.3,3713,
Shikoku,movie,"Horror, Thriller",1999,tt0213245,5.6,862,
"Sleepless Town",movie,"Crime, Drama, Romance",1998,tt0169929,6.9,754,
"Surely Someday",movie,"Comedy, Drama",2010,tt1450332,6.1,125,
"The Adventure of Denchu-Kozo",movie,"Comedy, Horror, Sci-Fi",1987,tt0166069,6.5,1027,
"A Night in Nude: Salvation",movie,"Crime, Drama, Thriller",2010,tt1653916,6,274,
Manhunt,movie,"Action, Crime, Drama",1976,tt0327002,6.8,610,
Hazard,movie,"Crime, Drama",2005,tt0798722,6.7,883,
"Gamera vs. Zigra",movie,"Adventure, Family, Sci-Fi",1971,tt0067123,3.6,1983,
"Gamera vs. Jiger",movie,"Adventure, Family, Sci-Fi",1970,tt0065755,5.3,1656,
"Gamera: Super Monster",movie,"Family, Sci-Fi",1980,tt0081675,3.6,1196,
Trespass,movie,"Crime, Drama, Mystery",2011,tt1674784,5.3,46413,
"Brownian Movement",movie,"Drama, Romance",2010,tt1529240,4.7,1584,
"The Monster X Strikes Back: Attack the G8 Summit",movie,"Comedy, Sci-Fi",2008,tt1190867,5.2,421,
Julia,movie,Drama,1974,tt0071754,4.7,706,
"The Fall of Ako Castle",movie,"Action, Adventure, Drama",1978,tt0077135,7.2,654,
"Female Prisoner #701: Scorpion",movie,"Crime, Drama, Thriller",1972,tt0226872,7.2,5150,
"Piecing Me Back Together",movie,"Drama, Romance",2010,tt1611115,5.6,150,
"The Iron Lady",movie,"Biography, Drama",2011,tt1007029,6.4,114851,
"Graveyard of Honor",movie,"Action, Crime",1975,tt0073207,7.1,2055,
"Jack and Jill",movie,Comedy,2011,tt0810913,3.3,92574,
Redline,movie,"Action, Animation, Sci-Fi",2009,tt1483797,7.5,18444,
"The Pleasures of the Flesh",movie,"Crime, Drama",1965,tt0059159,6.9,1760,
Children...,movie,"Mystery, Thriller",2011,tt1861982,7.1,3059,
Ted,movie,Comedy,2012,tt1637725,6.9,676819,
Safe,movie,"Action, Crime, Thriller",2012,tt1656190,6.5,120901,
"Marley & Me: The Puppy Years",movie,"Comedy, Family",2011,tt1704614,3.5,2199,
"Josee, the Tiger and the Fish",movie,"Drama, Romance",2003,tt0416881,7.3,2372,
"Journey 2: The Mysterious Island",movie,"Action, Adventure, Comedy",2012,tt1397514,5.7,115538,
Kaidan,movie,"Drama, Horror, Romance",2007,tt0844319,6.1,1243,
"Bleach the Movie: Hell Verse",movie,"Action, Adventure, Animation",2010,tt1785394,7.3,3489,
"A Distant Cry from Spring",movie,Drama,1980,tt0080843,7.6,721,
"Fort Yuma Gold",movie,"Drama, War, Western",1966,tt0061773,6,695,
"The Double",movie,"Action, Adventure, Crime",2011,tt1646980,5.9,32037,
"Mardock Scramble: The First Compression",movie,"Action, Animation, Drama",2010,tt1754177,6.4,1650,
"Mardock Scramble: The Second Combustion",movie,"Animation, Sci-Fi, Thriller",2011,tt2048804,6.2,1068,
"Just Between Us",movie,"Comedy, Drama",2010,tt1318029,6.6,1087,
"GACHI-BAN: ULTIMATE",movie,,2011,,,,
"I Want To",movie,"Action, Adventure, Sci-Fi",1979,tt0083050,6.4,1197,
"The Private Eyes",movie,Comedy,1976,tt0074179,7,937,
"Record of a Tenement Gentleman",movie,Drama,1947,tt0039651,7.7,2388,
"Gantz: Perfect Answer",movie,"Action, Adventure, Drama",2011,tt1525836,6.2,4777,
"Samurai Reincarnation",movie,"Action, Fantasy, Horror",1981,tt0082699,6.5,1320,
Pool,movie,Drama,2009,tt1458613,5.8,131,
"The Village",movie,Drama,1975,tt0204364,7.1,112,
"We Bought a Zoo",movie,"Comedy, Drama, Family",2011,tt1389137,7,155207,
Ballad,movie,"Action, Drama, Romance",2009,tt1424045,5.6,309,
Bandage,movie,"Drama, Music, Romance",2010,tt0482459,6.6,477,
"Kevin Hart: Laugh at My Pain",movie,"Comedy, Documentary",2011,tt1999192,7.3,6580,
"Accidental Kidnapper",movie,Drama,2010,tt1587298,6.9,126,
"Mazinger Z vs. The Great General of Darkness",movie,"Action, Adventure, Animation",1974,tt0345612,7.3,253,
"Mazinger Z vs. Devilman",movie,"Action, Adventure, Animation",1973,tt0299017,6.6,280,
"Great Mazinger vs. Getter Robo",movie,"Animation, Sci-Fi, Short",1975,tt5281676,6.7,33,
"Great Mazinger vs. Getter Robo G: The Great Space Encounter",movie,"Action, Animation, Sci-Fi",1975,tt0422354,6.7,91,
"Koisuru naporitan: Sekai de ichiban oishii aisarekata",movie,"Drama, Romance",2010,tt1696541,6.3,48,
"Digimon Adventure: Our War Game!",movie,"Action, Adventure, Animation",2000,tt0313441,7.7,1231,
"Garo the Movie: Red Requiem",movie,"Action, Drama, Fantasy",2010,tt1554970,5.7,223,
"Twilight's Last Gleaming",movie,"Drama, Thriller",1977,tt0076845,6.7,3926,
"No Rest for the Wicked",movie,"Crime, Thriller",2011,tt1661862,6.4,5651,
"The Expendables 2",movie,"Action, Adventure, Thriller",2012,tt1764651,6.6,327382,
"12 Years a Slave",movie,"Biography, Drama, History",2013,tt2024544,8.1,759240,
Helldriver,movie,"Horror, Sci-Fi",2010,tt1653913,5.2,1820,
"All About Ah-Long",movie,Drama,1989,tt0098694,7.3,1755,
"Thomas & Friends: Misty Island Rescue",movie,"Adventure, Animation, Family",2010,tt1683981,4.7,488,
"Mad Max: Fury Road",movie,"Action, Adventure, Sci-Fi",2015,tt1392190,8.1,1153738,
1911,movie,"Drama, History, War",2011,tt1772230,5.7,6647,
"Black Angels",movie,Drama,2011,,,,
"Felix and Lola",movie,"Drama, Romance",2001,tt0260036,5.8,463,
Pompeii,movie,"Action, Adventure, Drama",2014,tt1921064,5.5,119341,
"The Inugami Family",movie,"Crime, Drama, Horror",1976,tt0074691,7.1,1238,
"Gegege no Kitarô daikaiju",movie,"Action, Animation, Fantasy",1996,tt1614343,5.9,31,
Odin,movie,"Action, Adventure, Animation",1985,tt0161122,5.4,228,
"Jupiter Ascending",movie,"Action, Adventure, Sci-Fi",2015,tt1617661,5.3,197588,
"Inugami-ke no ichizoku",movie,"Drama, Mystery, Thriller",2006,tt0794297,6.3,432,
"Tales of Terror from Tokyo and All Over Japan: The Movie",movie,Horror,2004,tt0468774,5.7,433,
"Sing a Song of Sex",movie,Drama,1967,tt0062042,6.5,932,
"The Intouchables",movie,"Comedy, Drama",2011,tt1675434,8.5,967041,
"Edo Porn",movie,"Biography, Drama, History",1981,tt0202908,6.4,490,
"Sleep Tight",movie,"Crime, Drama, Thriller",2011,tt1437358,7.2,48163,
"Momotaro, Sacred Sailors",movie,"Adventure, Animation, Family",1945,tt0142666,5.5,391,
"Gokusen: The Movie",movie,"Comedy, Drama",2009,tt1392158,5.7,672,
"Ten Nights of Dreams",movie,Fantasy,2006,tt0899224,6.3,468,
"War of the Arrows",movie,Action,2011,tt2025526,7.1,13011,
Blind,movie,"Action, Crime, Drama",2011,tt2025506,6.8,3305,
"The Front Line",movie,"Action, Drama, History",2011,tt2007387,7.3,7305,
"The Road to Salina",movie,Drama,1970,tt0067681,6.7,1072,
"Tim and Eric's Billion Dollar Movie",movie,Comedy,2012,tt1855401,5.3,10795,
"Late Bloomers",movie,Drama,2011,tt1572502,5.7,1079,
"The Watch",movie,"Comedy, Sci-Fi",2012,tt1298649,5.7,134720,
"Tibetan Dog",movie,"Adventure, Animation, Drama",2011,tt2411128,6.6,265,
"Parasite Dolls",movie,"Action, Animation, Crime",2003,tt0376058,6.2,763,
"Ender's Game",movie,"Action, Adventure, Sci-Fi",2013,tt1731141,6.6,259231,
"Get the Gringo",movie,"Action, Drama, Thriller",2012,tt1567609,6.9,112877,
Wanda,movie,"Crime, Drama",1970,tt0067961,7.1,6182,
"Boku wa imôto ni koi wo suru",movie,"Drama, Romance",2007,tt0871977,5.6,600,
"Guilty of Romance",movie,"Drama, Horror, Romance",2011,tt1743724,6.8,6054,
"Initial D: Third Stage",movie,"Action, Animation, Romance",2001,tt0388130,7.7,2039,
"Sawako Decides",movie,Drama,2010,tt1611082,6.8,424,
"Venial Sin",movie,Comedy,1974,tt0066015,5.5,842,
"Jack the Giant Slayer",movie,"Action, Adventure, Fantasy",2013,tt1351685,6.3,150104,
"252: Signal of Life",movie,"Action, Adventure, Drama",2008,tt1260932,5.4,292,
"Don't Laugh at My Romance",movie,"Comedy, Romance",2007,tt0945550,6.2,545,
"Water Flower",movie,Drama,2005,tt0860465,7.2,37,
"What Every Frenchwoman Wants",movie,Comedy,1986,tt0092995,5.6,5997,
Vibrator,movie,Drama,2003,tt0379576,6.9,995,
"To Rome with Love",movie,"Comedy, Music, Romance",2012,tt1859650,6.3,91878,
"Cellular Girlfriend",movie,Horror,2011,tt1858476,5.2,124,
"Legendary Amazons",movie,Action,2011,tt2106514,4.4,826,
"The Libertine",movie,"Comedy, Drama",1968,tt0064643,5.4,891,
"Diary of a Wimpy Kid: Dog Days",movie,"Comedy, Family",2012,tt2023453,6.3,31378,
"Taken 2",movie,"Action, Crime, Thriller",2012,tt1397280,6.2,329250,
"Gangster Squad",movie,"Action, Crime, Drama",2013,tt1321870,6.7,225509,
"Silver Linings Playbook",movie,"Comedy, Drama, Romance",2012,tt1045658,7.7,756150,
"After Earth",movie,"Action, Adventure, Sci-Fi",2013,tt1815862,4.8,212510,
"Fast & Furious 6",movie,"Action, Thriller",2013,tt1905041,7,426013,
Deadball,movie,"Comedy, Horror, Sport",2011,tt1954374,5.2,622,
"Yakuza Weapon",movie,"Action, Sci-Fi",2011,tt1669604,5.2,617,
"Cloud Atlas",movie,"Drama, Mystery, Sci-Fi",2012,tt1371111,7.4,379752,
"Moonrise Kingdom",movie,"Adventure, Comedy, Drama",2012,tt1748122,7.8,372641,
"And Life Goes On",movie,"Adventure, Drama",1992,tt0105888,7.9,8105,
"The Teacher",movie,"Crime, Drama, Mystery",2000,tt0405312,4.7,248,
"Pretty Cure All Stars DX 3: Mirai ni Todoke! Sekai wo Tsunagu Niji-Iro no Hana",movie,"Action, Adventure, Animation",2011,tt1865354,8.2,22,
"Precure Allstars DX",movie,"Action, Adventure, Animation",2009,tt1401235,8.3,105,
"28 Hotel Rooms",movie,"Drama, Romance",2012,tt2124074,5.7,3733,
"Beasts of the Southern Wild",movie,"Adventure, Drama, Fantasy",2012,tt2125435,7.2,85741,
"The Neighbor No. Thirteen",movie,"Horror, Thriller",2005,tt0443205,6.3,1331,
"Madrid, 1987",movie,Drama,2011,tt1760980,6.2,2396,
"The Queen of Versailles",movie,Documentary,2012,tt2125666,7.1,13868,
"Young & Wild",movie,"Comedy, Drama",2012,tt2125698,6,3124,
"House of Tolerance",movie,Drama,2011,tt1660379,6.7,8224,
"As Luck Would Have It",movie,"Comedy, Drama",2011,tt1808240,6.1,2928,
Kotoko,movie,"Drama, Horror",2011,tt1842532,6.8,2436,
"UFO Robot Grendizer vs. Great Mazinger",movie,"Action, Animation, Sci-Fi",1976,tt4096826,7.3,99,
Ho!,movie,Crime,1968,tt0063072,6.1,691,
"Nine in Adversity",movie,"Action, Comedy, Sport",2005,tt0498502,6.4,66,
"Marrying the Mafia 4: Family Ordeal",movie,"Action, Comedy",2011,tt1995309,4.9,211,
"The Day He Arrives",movie,"Comedy, Drama",2011,tt1922561,7,2863,
Elles,movie,Drama,2011,tt1549589,5.6,7764,
"My SO Has Got Depression",movie,Drama,2011,tt1810833,6.7,738,
"Karate-Robo Zaborgar",movie,"Action, Sci-Fi",2011,tt1645048,6.3,564,
"A.C.A.B. - All Cops Are Bastards",movie,"Action, Crime, Drama",2012,tt1893195,6.6,8437,
Always,movie,"Action, Drama, Romance",2011,tt2082180,7.7,11822,
"Oki's Movie",movie,"Comedy, Drama",2010,tt1714878,6.8,1390,
"Like You Know It All",movie,Drama,2009,tt1275891,6.8,883,
"Crazed Fruit",movie,"Drama, Romance",1956,tt0160440,7.2,2329,
